"","Drosophila_erecta","Drosophila_yakuba","Drosophila_mauritiana","Drosophila_simulans","Drosophila_melanogaster","Drosophila_subpulchrella","Drosophila_pseudoobscura","Lucilia_cuprina","Aethina_tumida","Tribolium_madens","Anoplophora_glabripennis","Diabrotica_virgifera_virgifera","Anthonomus_grandis_grandis","Dendroctonus_ponderosae","Platypus_cylindrus*","Agrilus_planipennis","Aphidius_gifuensis","Chelonus_insularis","Microplitis_demolitor","Bombus_vancouverensis_nearcticus","Bombus_vosnesenskii","Megachile_rotundata","Osmia_bicornis_bicornis","Osmia_lignaria","Polistes_canadensis_canadensis","Polistes_fuscatus","Polistes_dominula","Vespa_crabro","Vespa_velutina","Vespula_pensylvanica","Camponotus_floridanus","Formica_exsecta","Nylanderia_fulva","Monomorium_pharaonis","Pogonomyrmex_barbatus","Ooceraea_biroi","Athalia_rosae","Diprion_similis","Neodiprion_fabricii","Neodiprion_virginiana","Blattella_germanica*","Cryptotermes_secundus","Zootermopsis_nevadensis","Schistocera_gregaria","Schistocera_nitens","Schistocera_serialis","Ischnura_elegans","Pantala_flavescens*"
"Drosophila_erecta",0,12.73586302,15.485319927,15.485319927,15.485319927,24.7345323075,32.306802676,62.554416871,194.1378706905,194.1378706905,194.137870686,194.137870686,194.137870686,194.137870686,194.137870691,194.137870696,226.9523221135,226.9523221135,226.9523221185,226.95232211615,226.95232211615,226.952322116,226.9523221165,226.9523221165,226.9523221155,226.9523221155,226.952322116,226.9523221135,226.9523221135,226.952322116,226.9523221135,226.952322118,226.952322118,226.9523221185,226.9523221185,226.9523221185,226.952322116,226.952322116,226.952322117,226.952322117,301.586664661,301.586664656,301.586664656,301.586664671,301.586664671,301.586664671,400.999999975998,400.999999975998
"Drosophila_yakuba",12.73586302,0,15.485319927,15.485319927,15.485319927,24.7345323075,32.306802676,62.554416871,194.1378706905,194.1378706905,194.137870686,194.137870686,194.137870686,194.137870686,194.137870691,194.137870696,226.9523221135,226.9523221135,226.9523221185,226.95232211615,226.95232211615,226.952322116,226.9523221165,226.9523221165,226.9523221155,226.9523221155,226.952322116,226.9523221135,226.9523221135,226.952322116,226.9523221135,226.952322118,226.952322118,226.9523221185,226.9523221185,226.9523221185,226.952322116,226.952322116,226.952322117,226.952322117,301.586664661,301.586664656,301.586664656,301.586664671,301.586664671,301.586664671,400.999999975998,400.999999975998
"Drosophila_mauritiana",15.485319927,15.485319927,0,9.414533839,10.66595404,24.7345323095,32.306802678,62.554416873,194.1378706925,194.1378706925,194.137870688,194.137870688,194.137870688,194.137870688,194.137870693,194.137870698,226.9523221155,226.9523221155,226.9523221205,226.95232211815,226.95232211815,226.952322118,226.9523221185,226.9523221185,226.9523221175,226.9523221175,226.952322118,226.9523221155,226.9523221155,226.952322118,226.9523221155,226.95232212,226.95232212,226.9523221205,226.9523221205,226.9523221205,226.952322118,226.952322118,226.952322119,226.952322119,301.586664663,301.586664658,301.586664658,301.586664673,301.586664673,301.586664673,400.999999977998,400.999999977998
"Drosophila_simulans",15.485319927,15.485319927,9.414533839,0,10.66595404,24.7345323095,32.306802678,62.554416873,194.1378706925,194.1378706925,194.137870688,194.137870688,194.137870688,194.137870688,194.137870693,194.137870698,226.9523221155,226.9523221155,226.9523221205,226.95232211815,226.95232211815,226.952322118,226.9523221185,226.9523221185,226.9523221175,226.9523221175,226.952322118,226.9523221155,226.9523221155,226.952322118,226.9523221155,226.95232212,226.95232212,226.9523221205,226.9523221205,226.9523221205,226.952322118,226.952322118,226.952322119,226.952322119,301.586664663,301.586664658,301.586664658,301.586664673,301.586664673,301.586664673,400.999999977998,400.999999977998
"Drosophila_melanogaster",15.485319927,15.485319927,10.66595404,10.66595404,0,24.7345323095,32.306802678,62.554416873,194.1378706925,194.1378706925,194.137870688,194.137870688,194.137870688,194.137870688,194.137870693,194.137870698,226.9523221155,226.9523221155,226.9523221205,226.95232211815,226.95232211815,226.952322118,226.9523221185,226.9523221185,226.9523221175,226.9523221175,226.952322118,226.9523221155,226.9523221155,226.952322118,226.9523221155,226.95232212,226.95232212,226.9523221205,226.9523221205,226.9523221205,226.952322118,226.952322118,226.952322119,226.952322119,301.586664663,301.586664658,301.586664658,301.586664673,301.586664673,301.586664673,400.999999977998,400.999999977998
"Drosophila_subpulchrella",24.7345323075,24.7345323075,24.7345323095,24.7345323095,24.7345323095,0,32.3068026785,62.5544168735,194.137870693,194.137870693,194.1378706885,194.1378706885,194.1378706885,194.1378706885,194.1378706935,194.1378706985,226.952322116,226.952322116,226.952322121,226.95232211865,226.95232211865,226.9523221185,226.952322119,226.952322119,226.952322118,226.952322118,226.9523221185,226.952322116,226.952322116,226.9523221185,226.952322116,226.9523221205,226.9523221205,226.952322121,226.952322121,226.952322121,226.9523221185,226.9523221185,226.9523221195,226.9523221195,301.5866646635,301.5866646585,301.5866646585,301.5866646735,301.5866646735,301.5866646735,400.999999978498,400.999999978498
"Drosophila_pseudoobscura",32.306802676,32.306802676,32.306802678,32.306802678,32.306802678,32.3068026785,0,62.554416875,194.1378706945,194.1378706945,194.13787069,194.13787069,194.13787069,194.13787069,194.137870695,194.1378707,226.9523221175,226.9523221175,226.9523221225,226.95232212015,226.95232212015,226.95232212,226.9523221205,226.9523221205,226.9523221195,226.9523221195,226.95232212,226.9523221175,226.9523221175,226.95232212,226.9523221175,226.952322122,226.952322122,226.9523221225,226.9523221225,226.9523221225,226.95232212,226.95232212,226.952322121,226.952322121,301.586664665,301.58666466,301.58666466,301.586664675,301.586664675,301.586664675,400.999999979998,400.999999979998
"Lucilia_cuprina",62.554416871,62.554416871,62.554416873,62.554416873,62.554416873,62.5544168735,62.554416875,0,194.1378706895,194.1378706895,194.137870685,194.137870685,194.137870685,194.137870685,194.13787069,194.137870695,226.9523221125,226.9523221125,226.9523221175,226.95232211515,226.95232211515,226.952322115,226.9523221155,226.9523221155,226.9523221145,226.9523221145,226.952322115,226.9523221125,226.9523221125,226.952322115,226.9523221125,226.952322117,226.952322117,226.9523221175,226.9523221175,226.9523221175,226.952322115,226.952322115,226.952322116,226.952322116,301.58666466,301.586664655,301.586664655,301.58666467,301.58666467,301.58666467,400.999999974998,400.999999974998
"Aethina_tumida",194.1378706905,194.1378706905,194.1378706925,194.1378706925,194.1378706925,194.137870693,194.1378706945,194.1378706895,0,56.78934736,64.8668415945,64.8668415945,64.8668415945,64.8668415945,64.8668415995,102.5117699945,226.952322132,226.952322132,226.952322137,226.95232213465,226.95232213465,226.9523221345,226.952322135,226.952322135,226.952322134,226.952322134,226.9523221345,226.952322132,226.952322132,226.9523221345,226.952322132,226.9523221365,226.9523221365,226.952322137,226.952322137,226.952322137,226.9523221345,226.9523221345,226.9523221355,226.9523221355,301.5866646795,301.5866646745,301.5866646745,301.5866646895,301.5866646895,301.5866646895,400.999999994498,400.999999994498
"Tribolium_madens",194.1378706905,194.1378706905,194.1378706925,194.1378706925,194.1378706925,194.137870693,194.1378706945,194.1378706895,56.78934736,0,64.8668415945,64.8668415945,64.8668415945,64.8668415945,64.8668415995,102.5117699945,226.952322132,226.952322132,226.952322137,226.95232213465,226.95232213465,226.9523221345,226.952322135,226.952322135,226.952322134,226.952322134,226.9523221345,226.952322132,226.952322132,226.9523221345,226.952322132,226.9523221365,226.9523221365,226.952322137,226.952322137,226.952322137,226.9523221345,226.9523221345,226.9523221355,226.9523221355,301.5866646795,301.5866646745,301.5866646745,301.5866646895,301.5866646895,301.5866646895,400.999999994498,400.999999994498
"Anoplophora_glabripennis",194.137870686,194.137870686,194.137870688,194.137870688,194.137870688,194.1378706885,194.13787069,194.137870685,64.8668415945,64.8668415945,0,35.83302987,51.81909835,51.81909835,51.819098355,102.51176999,226.9523221275,226.9523221275,226.9523221325,226.95232213015,226.95232213015,226.95232213,226.9523221305,226.9523221305,226.9523221295,226.9523221295,226.95232213,226.9523221275,226.9523221275,226.95232213,226.9523221275,226.952322132,226.952322132,226.9523221325,226.9523221325,226.9523221325,226.95232213,226.95232213,226.952322131,226.952322131,301.586664675,301.58666467,301.58666467,301.586664685,301.586664685,301.586664685,400.999999989998,400.999999989998
"Diabrotica_virgifera_virgifera",194.137870686,194.137870686,194.137870688,194.137870688,194.137870688,194.1378706885,194.13787069,194.137870685,64.8668415945,64.8668415945,35.83302987,0,51.81909835,51.81909835,51.819098355,102.51176999,226.9523221275,226.9523221275,226.9523221325,226.95232213015,226.95232213015,226.95232213,226.9523221305,226.9523221305,226.9523221295,226.9523221295,226.95232213,226.9523221275,226.9523221275,226.95232213,226.9523221275,226.952322132,226.952322132,226.9523221325,226.9523221325,226.9523221325,226.95232213,226.95232213,226.952322131,226.952322131,301.586664675,301.58666467,301.58666467,301.586664685,301.586664685,301.586664685,400.999999989998,400.999999989998
"Anthonomus_grandis_grandis",194.137870686,194.137870686,194.137870688,194.137870688,194.137870688,194.1378706885,194.13787069,194.137870685,64.8668415945,64.8668415945,51.81909835,51.81909835,0,26.04267137,40.416116985,102.51176999,226.9523221275,226.9523221275,226.9523221325,226.95232213015,226.95232213015,226.95232213,226.9523221305,226.9523221305,226.9523221295,226.9523221295,226.95232213,226.9523221275,226.9523221275,226.95232213,226.9523221275,226.952322132,226.952322132,226.9523221325,226.9523221325,226.9523221325,226.95232213,226.95232213,226.952322131,226.952322131,301.586664675,301.58666467,301.58666467,301.586664685,301.586664685,301.586664685,400.999999989998,400.999999989998
"Dendroctonus_ponderosae",194.137870686,194.137870686,194.137870688,194.137870688,194.137870688,194.1378706885,194.13787069,194.137870685,64.8668415945,64.8668415945,51.81909835,51.81909835,26.04267137,0,40.416116985,102.51176999,226.9523221275,226.9523221275,226.9523221325,226.95232213015,226.95232213015,226.95232213,226.9523221305,226.9523221305,226.9523221295,226.9523221295,226.95232213,226.9523221275,226.9523221275,226.95232213,226.9523221275,226.952322132,226.952322132,226.9523221325,226.9523221325,226.9523221325,226.95232213,226.95232213,226.952322131,226.952322131,301.586664675,301.58666467,301.58666467,301.586664685,301.586664685,301.586664685,400.999999989998,400.999999989998
"Platypus_cylindrus*",194.137870691,194.137870691,194.137870693,194.137870693,194.137870693,194.1378706935,194.137870695,194.13787069,64.8668415995,64.8668415995,51.819098355,51.819098355,40.416116985,40.416116985,0,102.511769995,226.9523221325,226.9523221325,226.9523221375,226.95232213515,226.95232213515,226.952322135,226.9523221355,226.9523221355,226.9523221345,226.9523221345,226.952322135,226.9523221325,226.9523221325,226.952322135,226.9523221325,226.952322137,226.952322137,226.9523221375,226.9523221375,226.9523221375,226.952322135,226.952322135,226.952322136,226.952322136,301.58666468,301.586664675,301.586664675,301.58666469,301.58666469,301.58666469,400.999999994998,400.999999994998
"Agrilus_planipennis",194.137870696,194.137870696,194.137870698,194.137870698,194.137870698,194.1378706985,194.1378707,194.137870695,102.5117699945,102.5117699945,102.51176999,102.51176999,102.51176999,102.51176999,102.511769995,0,226.9523221375,226.9523221375,226.9523221425,226.95232214015,226.95232214015,226.95232214,226.9523221405,226.9523221405,226.9523221395,226.9523221395,226.95232214,226.9523221375,226.9523221375,226.95232214,226.9523221375,226.952322142,226.952322142,226.9523221425,226.9523221425,226.9523221425,226.95232214,226.95232214,226.952322141,226.952322141,301.586664685,301.58666468,301.58666468,301.586664695,301.586664695,301.586664695,400.999999999998,400.999999999998
"Aphidius_gifuensis",226.9523221135,226.9523221135,226.9523221155,226.9523221155,226.9523221155,226.952322116,226.9523221175,226.9523221125,226.952322132,226.952322132,226.9523221275,226.9523221275,226.9523221275,226.9523221275,226.9523221325,226.9523221375,0,72.08492012,72.084920125,135.21479727265,135.21479727265,135.2147972725,135.214797273,135.214797273,135.214797272,135.214797272,135.2147972725,135.21479727,135.21479727,135.2147972725,135.21479727,135.2147972745,135.2147972745,135.214797275,135.214797275,135.214797275,142.9441033775,142.9441033775,142.9441033785,142.9441033785,301.5866646825,301.5866646775,301.5866646775,301.5866646925,301.5866646925,301.5866646925,400.999999997498,400.999999997498
"Chelonus_insularis",226.9523221135,226.9523221135,226.9523221155,226.9523221155,226.9523221155,226.952322116,226.9523221175,226.9523221125,226.952322132,226.952322132,226.9523221275,226.9523221275,226.9523221275,226.9523221275,226.9523221325,226.9523221375,72.08492012,0,54.691933935,135.21479727265,135.21479727265,135.2147972725,135.214797273,135.214797273,135.214797272,135.214797272,135.2147972725,135.21479727,135.21479727,135.2147972725,135.21479727,135.2147972745,135.2147972745,135.214797275,135.214797275,135.214797275,142.9441033775,142.9441033775,142.9441033785,142.9441033785,301.5866646825,301.5866646775,301.5866646775,301.5866646925,301.5866646925,301.5866646925,400.999999997498,400.999999997498
"Microplitis_demolitor",226.9523221185,226.9523221185,226.9523221205,226.9523221205,226.9523221205,226.952322121,226.9523221225,226.9523221175,226.952322137,226.952322137,226.9523221325,226.9523221325,226.9523221325,226.9523221325,226.9523221375,226.9523221425,72.084920125,54.691933935,0,135.21479727765,135.21479727765,135.2147972775,135.214797278,135.214797278,135.214797277,135.214797277,135.2147972775,135.214797275,135.214797275,135.2147972775,135.214797275,135.2147972795,135.2147972795,135.21479728,135.21479728,135.21479728,142.9441033825,142.9441033825,142.9441033835,142.9441033835,301.5866646875,301.5866646825,301.5866646825,301.5866646975,301.5866646975,301.5866646975,401.000000002498,401.000000002498
"Bombus_vancouverensis_nearcticus",226.95232211615,226.95232211615,226.95232211815,226.95232211815,226.95232211815,226.95232211865,226.95232212015,226.95232211515,226.95232213465,226.95232213465,226.95232213015,226.95232213015,226.95232213015,226.95232213015,226.95232213515,226.95232214015,135.21479727265,135.21479727265,135.21479727765,0,0.6727802703,45.56064753015,45.56064753065,45.56064753065,88.88866462965,88.88866462965,88.88866463015,88.88866462765,88.88866462765,88.88866463015,98.32682693265,98.32682693715,98.32682693715,98.32682693765,98.32682693765,98.32682693765,142.94410338015,142.94410338015,142.94410338115,142.94410338115,301.58666468515,301.58666468015,301.58666468015,301.58666469515,301.58666469515,301.58666469515,401.000000000148,401.000000000148
"Bombus_vosnesenskii",226.95232211615,226.95232211615,226.95232211815,226.95232211815,226.95232211815,226.95232211865,226.95232212015,226.95232211515,226.95232213465,226.95232213465,226.95232213015,226.95232213015,226.95232213015,226.95232213015,226.95232213515,226.95232214015,135.21479727265,135.21479727265,135.21479727765,0.6727802703,0,45.56064753015,45.56064753065,45.56064753065,88.88866462965,88.88866462965,88.88866463015,88.88866462765,88.88866462765,88.88866463015,98.32682693265,98.32682693715,98.32682693715,98.32682693765,98.32682693765,98.32682693765,142.94410338015,142.94410338015,142.94410338115,142.94410338115,301.58666468515,301.58666468015,301.58666468015,301.58666469515,301.58666469515,301.58666469515,401.000000000148,401.000000000148
"Megachile_rotundata",226.952322116,226.952322116,226.952322118,226.952322118,226.952322118,226.9523221185,226.95232212,226.952322115,226.9523221345,226.9523221345,226.95232213,226.95232213,226.95232213,226.95232213,226.952322135,226.95232214,135.2147972725,135.2147972725,135.2147972775,45.56064753015,45.56064753015,0,26.2108873205,26.2108873205,88.8886646295,88.8886646295,88.88866463,88.8886646275,88.8886646275,88.88866463,98.3268269325,98.326826937,98.326826937,98.3268269375,98.3268269375,98.3268269375,142.94410338,142.94410338,142.944103381,142.944103381,301.586664685,301.58666468,301.58666468,301.586664695,301.586664695,301.586664695,400.999999999998,400.999999999998
"Osmia_bicornis_bicornis",226.9523221165,226.9523221165,226.9523221185,226.9523221185,226.9523221185,226.952322119,226.9523221205,226.9523221155,226.952322135,226.952322135,226.9523221305,226.9523221305,226.9523221305,226.9523221305,226.9523221355,226.9523221405,135.214797273,135.214797273,135.214797278,45.56064753065,45.56064753065,26.2108873205,0,6.696605301,88.88866463,88.88866463,88.8886646305,88.888664628,88.888664628,88.8886646305,98.326826933,98.3268269375,98.3268269375,98.326826938,98.326826938,98.326826938,142.9441033805,142.9441033805,142.9441033815,142.9441033815,301.5866646855,301.5866646805,301.5866646805,301.5866646955,301.5866646955,301.5866646955,401.000000000498,401.000000000498
