"","Drosophila_erecta","Drosophila_yakuba","Drosophila_mauritiana","Drosophila_simulans","Drosophila_melanogaster","Drosophila_subpulchrella","Drosophila_pseudoobscura","Lucilia_cuprina","Aethina_tumida","Tribolium_madens","Anoplophora_glabripennis","Diabrotica_virgifera_virgifera","Anthonomus_grandis_grandis","Dendroctonus_ponderosae","Platypus_cylindrus*","Agrilus_planipennis","Aphidius_gifuensis","Chelonus_insularis","Microplitis_demolitor","Bombus_vancouverensis_nearcticus","Bombus_vosnesenskii","Megachile_rotundata","Osmia_bicornis_bicornis","Osmia_lignaria","Polistes_canadensis_canadensis","Polistes_fuscatus","Polistes_dominula","Vespa_crabro","Vespa_velutina","Vespula_pensylvanica","Camponotus_floridanus","Formica_exsecta","Nylanderia_fulva","Monomorium_pharaonis","Pogonomyrmex_barbatus","Ooceraea_biroi","Athalia_rosae","Diprion_similis","Neodiprion_fabricii","Neodiprion_virginiana","Blattella_germanica*","Cryptotermes_secundus","Zootermopsis_nevadensis","Schistocera_gregaria","Schistocera_nitens","Schistocera_serialis","Ischnura_elegans","Pantala_flavescens*"
"Osmia_lignaria",226.9523221165,226.9523221165,226.9523221185,226.9523221185,226.9523221185,226.952322119,226.9523221205,226.9523221155,226.952322135,226.952322135,226.9523221305,226.9523221305,226.9523221305,226.9523221305,226.9523221355,226.9523221405,135.214797273,135.214797273,135.214797278,45.56064753065,45.56064753065,26.2108873205,6.696605301,0,88.88866463,88.88866463,88.8886646305,88.888664628,88.888664628,88.8886646305,98.326826933,98.3268269375,98.3268269375,98.326826938,98.326826938,98.326826938,142.9441033805,142.9441033805,142.9441033815,142.9441033815,301.5866646855,301.5866646805,301.5866646805,301.5866646955,301.5866646955,301.5866646955,401.000000000498,401.000000000498
"Polistes_canadensis_canadensis",226.9523221155,226.9523221155,226.9523221175,226.9523221175,226.9523221175,226.952322118,226.9523221195,226.9523221145,226.952322134,226.952322134,226.9523221295,226.9523221295,226.9523221295,226.9523221295,226.9523221345,226.9523221395,135.214797272,135.214797272,135.214797277,88.88866462965,88.88866462965,88.8886646295,88.88866463,88.88866463,0,10.7908328,14.5404489295,33.764361687,33.764361687,33.7643616895,98.326826932,98.3268269365,98.3268269365,98.326826937,98.326826937,98.326826937,142.9441033795,142.9441033795,142.9441033805,142.9441033805,301.5866646845,301.5866646795,301.5866646795,301.5866646945,301.5866646945,301.5866646945,400.999999999498,400.999999999498
"Polistes_fuscatus",226.9523221155,226.9523221155,226.9523221175,226.9523221175,226.9523221175,226.952322118,226.9523221195,226.9523221145,226.952322134,226.952322134,226.9523221295,226.9523221295,226.9523221295,226.9523221295,226.9523221345,226.9523221395,135.214797272,135.214797272,135.214797277,88.88866462965,88.88866462965,88.8886646295,88.88866463,88.88866463,10.7908328,0,14.5404489295,33.764361687,33.764361687,33.7643616895,98.326826932,98.3268269365,98.3268269365,98.326826937,98.326826937,98.326826937,142.9441033795,142.9441033795,142.9441033805,142.9441033805,301.5866646845,301.5866646795,301.5866646795,301.5866646945,301.5866646945,301.5866646945,400.999999999498,400.999999999498
"Polistes_dominula",226.952322116,226.952322116,226.952322118,226.952322118,226.952322118,226.9523221185,226.95232212,226.952322115,226.9523221345,226.9523221345,226.95232213,226.95232213,226.95232213,226.95232213,226.952322135,226.95232214,135.2147972725,135.2147972725,135.2147972775,88.88866463015,88.88866463015,88.88866463,88.8886646305,88.8886646305,14.5404489295,14.5404489295,0,33.7643616875,33.7643616875,33.76436169,98.3268269325,98.326826937,98.326826937,98.3268269375,98.3268269375,98.3268269375,142.94410338,142.94410338,142.944103381,142.944103381,301.586664685,301.58666468,301.58666468,301.586664695,301.586664695,301.586664695,400.999999999998,400.999999999998
"Vespa_crabro",226.9523221135,226.9523221135,226.9523221155,226.9523221155,226.9523221155,226.952322116,226.9523221175,226.9523221125,226.952322132,226.952322132,226.9523221275,226.9523221275,226.9523221275,226.9523221275,226.9523221325,226.9523221375,135.21479727,135.21479727,135.214797275,88.88866462765,88.88866462765,88.8886646275,88.888664628,88.888664628,33.764361687,33.764361687,33.7643616875,0,8.574290475,21.5556632275,98.32682693,98.3268269345,98.3268269345,98.326826935,98.326826935,98.326826935,142.9441033775,142.9441033775,142.9441033785,142.9441033785,301.5866646825,301.5866646775,301.5866646775,301.5866646925,301.5866646925,301.5866646925,400.999999997498,400.999999997498
"Vespa_velutina",226.9523221135,226.9523221135,226.9523221155,226.9523221155,226.9523221155,226.952322116,226.9523221175,226.9523221125,226.952322132,226.952322132,226.9523221275,226.9523221275,226.9523221275,226.9523221275,226.9523221325,226.9523221375,135.21479727,135.21479727,135.214797275,88.88866462765,88.88866462765,88.8886646275,88.888664628,88.888664628,33.764361687,33.764361687,33.7643616875,8.574290475,0,21.5556632275,98.32682693,98.3268269345,98.3268269345,98.326826935,98.326826935,98.326826935,142.9441033775,142.9441033775,142.9441033785,142.9441033785,301.5866646825,301.5866646775,301.5866646775,301.5866646925,301.5866646925,301.5866646925,400.999999997498,400.999999997498
"Vespula_pensylvanica",226.952322116,226.952322116,226.952322118,226.952322118,226.952322118,226.9523221185,226.95232212,226.952322115,226.9523221345,226.9523221345,226.95232213,226.95232213,226.95232213,226.95232213,226.952322135,226.95232214,135.2147972725,135.2147972725,135.2147972775,88.88866463015,88.88866463015,88.88866463,88.8886646305,88.8886646305,33.7643616895,33.7643616895,33.76436169,21.5556632275,21.5556632275,0,98.3268269325,98.326826937,98.326826937,98.3268269375,98.3268269375,98.3268269375,142.94410338,142.94410338,142.944103381,142.944103381,301.586664685,301.58666468,301.58666468,301.586664695,301.586664695,301.586664695,400.999999999998,400.999999999998
"Camponotus_floridanus",226.9523221135,226.9523221135,226.9523221155,226.9523221155,226.9523221155,226.952322116,226.9523221175,226.9523221125,226.952322132,226.952322132,226.9523221275,226.9523221275,226.9523221275,226.9523221275,226.9523221325,226.9523221375,135.21479727,135.21479727,135.214797275,98.32682693265,98.32682693265,98.3268269325,98.326826933,98.326826933,98.326826932,98.326826932,98.3268269325,98.32682693,98.32682693,98.3268269325,0,26.2543206545,26.2543206545,43.979533835,43.979533835,51.816141435,142.9441033775,142.9441033775,142.9441033785,142.9441033785,301.5866646825,301.5866646775,301.5866646775,301.5866646925,301.5866646925,301.5866646925,400.999999997498,400.999999997498
"Formica_exsecta",226.952322118,226.952322118,226.95232212,226.95232212,226.95232212,226.9523221205,226.952322122,226.952322117,226.9523221365,226.9523221365,226.952322132,226.952322132,226.952322132,226.952322132,226.952322137,226.952322142,135.2147972745,135.2147972745,135.2147972795,98.32682693715,98.32682693715,98.326826937,98.3268269375,98.3268269375,98.3268269365,98.3268269365,98.326826937,98.3268269345,98.3268269345,98.326826937,26.2543206545,0,20.26566474,43.9795338395,43.9795338395,51.8161414395,142.944103382,142.944103382,142.944103383,142.944103383,301.586664687,301.586664682,301.586664682,301.586664697,301.586664697,301.586664697,401.000000001998,401.000000001998
"Nylanderia_fulva",226.952322118,226.952322118,226.95232212,226.95232212,226.95232212,226.9523221205,226.952322122,226.952322117,226.9523221365,226.9523221365,226.952322132,226.952322132,226.952322132,226.952322132,226.952322137,226.952322142,135.2147972745,135.2147972745,135.2147972795,98.32682693715,98.32682693715,98.326826937,98.3268269375,98.3268269375,98.3268269365,98.3268269365,98.326826937,98.3268269345,98.3268269345,98.326826937,26.2543206545,20.26566474,0,43.9795338395,43.9795338395,51.8161414395,142.944103382,142.944103382,142.944103383,142.944103383,301.586664687,301.586664682,301.586664682,301.586664697,301.586664697,301.586664697,401.000000001998,401.000000001998
"Monomorium_pharaonis",226.9523221185,226.9523221185,226.9523221205,226.9523221205,226.9523221205,226.952322121,226.9523221225,226.9523221175,226.952322137,226.952322137,226.9523221325,226.9523221325,226.9523221325,226.9523221325,226.9523221375,226.9523221425,135.214797275,135.214797275,135.21479728,98.32682693765,98.32682693765,98.3268269375,98.326826938,98.326826938,98.326826937,98.326826937,98.3268269375,98.326826935,98.326826935,98.3268269375,43.979533835,43.9795338395,43.9795338395,0,33.26161171,51.81614144,142.9441033825,142.9441033825,142.9441033835,142.9441033835,301.5866646875,301.5866646825,301.5866646825,301.5866646975,301.5866646975,301.5866646975,401.000000002498,401.000000002498
"Pogonomyrmex_barbatus",226.9523221185,226.9523221185,226.9523221205,226.9523221205,226.9523221205,226.952322121,226.9523221225,226.9523221175,226.952322137,226.952322137,226.9523221325,226.9523221325,226.9523221325,226.9523221325,226.9523221375,226.9523221425,135.214797275,135.214797275,135.21479728,98.32682693765,98.32682693765,98.3268269375,98.326826938,98.326826938,98.326826937,98.326826937,98.3268269375,98.326826935,98.326826935,98.3268269375,43.979533835,43.9795338395,43.9795338395,33.26161171,0,51.81614144,142.9441033825,142.9441033825,142.9441033835,142.9441033835,301.5866646875,301.5866646825,301.5866646825,301.5866646975,301.5866646975,301.5866646975,401.000000002498,401.000000002498
"Ooceraea_biroi",226.9523221185,226.9523221185,226.9523221205,226.9523221205,226.9523221205,226.952322121,226.9523221225,226.9523221175,226.952322137,226.952322137,226.9523221325,226.9523221325,226.9523221325,226.9523221325,226.9523221375,226.9523221425,135.214797275,135.214797275,135.21479728,98.32682693765,98.32682693765,98.3268269375,98.326826938,98.326826938,98.326826937,98.326826937,98.3268269375,98.326826935,98.326826935,98.3268269375,51.816141435,51.8161414395,51.8161414395,51.81614144,51.81614144,0,142.9441033825,142.9441033825,142.9441033835,142.9441033835,301.5866646875,301.5866646825,301.5866646825,301.5866646975,301.5866646975,301.5866646975,401.000000002498,401.000000002498
"Athalia_rosae",226.952322116,226.952322116,226.952322118,226.952322118,226.952322118,226.9523221185,226.95232212,226.952322115,226.9523221345,226.9523221345,226.95232213,226.95232213,226.95232213,226.95232213,226.952322135,226.95232214,142.9441033775,142.9441033775,142.9441033825,142.94410338015,142.94410338015,142.94410338,142.9441033805,142.9441033805,142.9441033795,142.9441033795,142.94410338,142.9441033775,142.9441033775,142.94410338,142.9441033775,142.944103382,142.944103382,142.9441033825,142.9441033825,142.9441033825,0,70.89608178,70.896081781,70.896081781,301.586664685,301.58666468,301.58666468,301.586664695,301.586664695,301.586664695,400.999999999998,400.999999999998
"Diprion_similis",226.952322116,226.952322116,226.952322118,226.952322118,226.952322118,226.9523221185,226.95232212,226.952322115,226.9523221345,226.9523221345,226.95232213,226.95232213,226.95232213,226.95232213,226.952322135,226.95232214,142.9441033775,142.9441033775,142.9441033825,142.94410338015,142.94410338015,142.94410338,142.9441033805,142.9441033805,142.9441033795,142.9441033795,142.94410338,142.9441033775,142.9441033775,142.94410338,142.9441033775,142.944103382,142.944103382,142.9441033825,142.9441033825,142.9441033825,70.89608178,0,20.605632071,20.605632071,301.586664685,301.58666468,301.58666468,301.586664695,301.586664695,301.586664695,400.999999999998,400.999999999998
"Neodiprion_fabricii",226.952322117,226.952322117,226.952322119,226.952322119,226.952322119,226.9523221195,226.952322121,226.952322116,226.9523221355,226.9523221355,226.952322131,226.952322131,226.952322131,226.952322131,226.952322136,226.952322141,142.9441033785,142.9441033785,142.9441033835,142.94410338115,142.94410338115,142.944103381,142.9441033815,142.9441033815,142.9441033805,142.9441033805,142.944103381,142.9441033785,142.9441033785,142.944103381,142.9441033785,142.944103383,142.944103383,142.9441033835,142.9441033835,142.9441033835,70.896081781,20.605632071,0,2.864100982,301.586664686,301.586664681,301.586664681,301.586664696,301.586664696,301.586664696,401.000000000998,401.000000000998
"Neodiprion_virginiana",226.952322117,226.952322117,226.952322119,226.952322119,226.952322119,226.9523221195,226.952322121,226.952322116,226.9523221355,226.9523221355,226.952322131,226.952322131,226.952322131,226.952322131,226.952322136,226.952322141,142.9441033785,142.9441033785,142.9441033835,142.94410338115,142.94410338115,142.944103381,142.9441033815,142.9441033815,142.9441033805,142.9441033805,142.944103381,142.9441033785,142.9441033785,142.944103381,142.9441033785,142.944103383,142.944103383,142.9441033835,142.9441033835,142.9441033835,70.896081781,20.605632071,2.864100982,0,301.586664686,301.586664681,301.586664681,301.586664696,301.586664696,301.586664696,401.000000000998,401.000000000998
"Blattella_germanica*",301.586664661,301.586664661,301.586664663,301.586664663,301.586664663,301.5866646635,301.586664665,301.58666466,301.5866646795,301.5866646795,301.586664675,301.586664675,301.586664675,301.586664675,301.58666468,301.586664685,301.5866646825,301.5866646825,301.5866646875,301.58666468515,301.58666468515,301.586664685,301.5866646855,301.5866646855,301.5866646845,301.5866646845,301.586664685,301.5866646825,301.5866646825,301.586664685,301.5866646825,301.586664687,301.586664687,301.5866646875,301.5866646875,301.5866646875,301.586664685,301.586664685,301.586664686,301.586664686,0,158.797346295,158.797346295,259.21407221,259.21407221,259.21407221,400.999999994998,400.999999994998
"Cryptotermes_secundus",301.586664656,301.586664656,301.586664658,301.586664658,301.586664658,301.5866646585,301.58666466,301.586664655,301.5866646745,301.5866646745,301.58666467,301.58666467,301.58666467,301.58666467,301.586664675,301.58666468,301.5866646775,301.5866646775,301.5866646825,301.58666468015,301.58666468015,301.58666468,301.5866646805,301.5866646805,301.5866646795,301.5866646795,301.58666468,301.5866646775,301.5866646775,301.58666468,301.5866646775,301.586664682,301.586664682,301.5866646825,301.5866646825,301.5866646825,301.58666468,301.58666468,301.586664681,301.586664681,158.797346295,0,52.28305139,259.214072205,259.214072205,259.214072205,400.999999989998,400.999999989998
"Zootermopsis_nevadensis",301.586664656,301.586664656,301.586664658,301.586664658,301.586664658,301.5866646585,301.58666466,301.586664655,301.5866646745,301.5866646745,301.58666467,301.58666467,301.58666467,301.58666467,301.586664675,301.58666468,301.5866646775,301.5866646775,301.5866646825,301.58666468015,301.58666468015,301.58666468,301.5866646805,301.5866646805,301.5866646795,301.5866646795,301.58666468,301.5866646775,301.5866646775,301.58666468,301.5866646775,301.586664682,301.586664682,301.5866646825,301.5866646825,301.5866646825,301.58666468,301.58666468,301.586664681,301.586664681,158.797346295,52.28305139,0,259.214072205,259.214072205,259.214072205,400.999999989998,400.999999989998
"Schistocera_gregaria",301.586664671,301.586664671,301.586664673,301.586664673,301.586664673,301.5866646735,301.586664675,301.58666467,301.5866646895,301.5866646895,301.586664685,301.586664685,301.586664685,301.586664685,301.58666469,301.586664695,301.5866646925,301.5866646925,301.5866646975,301.58666469515,301.58666469515,301.586664695,301.5866646955,301.5866646955,301.5866646945,301.5866646945,301.586664695,301.5866646925,301.5866646925,301.586664695,301.5866646925,301.586664697,301.586664697,301.5866646975,301.5866646975,301.5866646975,301.586664695,301.586664695,301.586664696,301.586664696,259.21407221,259.214072205,259.214072205,0,23.27439982,23.27439982,401.000000004998,401.000000004998
"Schistocera_nitens",301.586664671,301.586664671,301.586664673,301.586664673,301.586664673,301.5866646735,301.586664675,301.58666467,301.5866646895,301.5866646895,301.586664685,301.586664685,301.586664685,301.586664685,301.58666469,301.586664695,301.5866646925,301.5866646925,301.5866646975,301.58666469515,301.58666469515,301.586664695,301.5866646955,301.5866646955,301.5866646945,301.5866646945,301.586664695,301.5866646925,301.5866646925,301.586664695,301.5866646925,301.586664697,301.586664697,301.5866646975,301.5866646975,301.5866646975,301.586664695,301.586664695,301.586664696,301.586664696,259.21407221,259.214072205,259.214072205,23.27439982,0,13.18176543,401.000000004998,401.000000004998
"Schistocera_serialis",301.586664671,301.586664671,301.586664673,301.586664673,301.586664673,301.5866646735,301.586664675,301.58666467,301.5866646895,301.5866646895,301.586664685,301.586664685,301.586664685,301.586664685,301.58666469,301.586664695,301.5866646925,301.5866646925,301.5866646975,301.58666469515,301.58666469515,301.586664695,301.5866646955,301.5866646955,301.5866646945,301.5866646945,301.586664695,301.5866646925,301.5866646925,301.586664695,301.5866646925,301.586664697,301.586664697,301.5866646975,301.5866646975,301.5866646975,301.586664695,301.586664695,301.586664696,301.586664696,259.21407221,259.214072205,259.214072205,23.27439982,13.18176543,0,401.000000004998,401.000000004998
"Ischnura_elegans",400.999999975998,400.999999975998,400.999999977998,400.999999977998,400.999999977998,400.999999978498,400.999999979998,400.999999974998,400.999999994498,400.999999994498,400.999999989998,400.999999989998,400.999999989998,400.999999989998,400.999999994998,400.999999999998,400.999999997498,400.999999997498,401.000000002498,401.000000000148,401.000000000148,400.999999999998,401.000000000498,401.000000000498,400.999999999498,400.999999999498,400.999999999998,400.999999997498,400.999999997498,400.999999999998,400.999999997498,401.000000001998,401.000000001998,401.000000002498,401.000000002498,401.000000002498,400.999999999998,400.999999999998,401.000000000998,401.000000000998,400.999999994998,400.999999989998,400.999999989998,401.000000004998,401.000000004998,401.000000004998,0,401
"Pantala_flavescens*",400.999999975998,400.999999975998,400.999999977998,400.999999977998,400.999999977998,400.999999978498,400.999999979998,400.999999974998,400.999999994498,400.999999994498,400.999999989998,400.999999989998,400.999999989998,400.999999989998,400.999999994998,400.999999999998,400.999999997498,400.999999997498,401.000000002498,401.000000000148,401.000000000148,400.999999999998,401.000000000498,401.000000000498,400.999999999498,400.999999999498,400.999999999998,400.999999997498,400.999999997498,400.999999999998,400.999999997498,401.000000001998,401.000000001998,401.000000002498,401.000000002498,401.000000002498,400.999999999998,400.999999999998,401.000000000998,401.000000000998,400.999999994998,400.999999989998,400.999999989998,401.000000004998,401.000000004998,401.000000004998,401,0
