"","Aphidius_gifuensis","Chelonus_insularis","Microplitis_demolitor","Bombus_vancouverensis_nearcticus","Bombus_vosnesenskii","Megachile_rotundata","Osmia_bicornis","Osmia_lignaria","Polistes_canadensis_canadensis","Polistes_fuscatus","Polistes_dominula","Vespa_crabro","Vespa_velutina","Vespula_pensylvanica","Camponotus_floridanus","Formica_exsecta","Nylanderia_fulva","Monomorium_pharaonis","Pogonomyrmex_barbatus","Ooceraea_biroi","Athalia_rosa","Diprion_similis","Neodiprion_fabricii","Neodiprion_virginiana","Aethina_tumida","Tribolium_madens","Anoplophora_glabripennis","Diabrotica_virgifera_virgifera","Anthonomus_grandis","Dendroctonus_ponderosae","Platypus_cylindrus","Agrilus_planipennis","Drosophila_subpulchrella","Drosophila_erecta","Drosophila_yakuba","Drosophila_mauritiana","Drosophila_simulans","Drosophila_melanogaster","Drosophila_pseudoobscura","Lucilia_cuprina","Blattella_germanica","Cryptotermes_secundus","Zootermopsis_nevadensis","Schistocerca_nitens","Schistocerca_serialis","Schistocerca_gregaria","Ischnura_elegans","Pantala_flavescens"
"Neodiprion_virginiana",150.620434733,150.620434728,150.620434728,150.620434738,150.620434738,150.620434742,150.620434742,150.620434742,150.6204347415,150.6204347415,150.620434738,150.620434743,150.620434743,150.620434743,150.620434738,150.6204347355,150.6204347355,150.620434738,150.620434738,150.620434738,78.788939308,5.552042656,3.429354188,0,176.112189578,176.112189578,176.112189583,176.112189583,176.112189573,176.112189573,176.112189578,176.112189593,221.313868793,221.313868792,221.313868792,221.313868793,221.313868793,221.313868793,221.313868793,221.313868793,247.852286188,247.852286203,247.852286203,247.852286188,247.852286188,247.852286188,401.000000002994,401.000000002994
"Aethina_tumida",176.112189575,176.11218957,176.11218957,176.11218958,176.11218958,176.112189584,176.112189584,176.112189584,176.1121895835,176.1121895835,176.11218958,176.112189585,176.112189585,176.112189585,176.11218958,176.1121895775,176.1121895775,176.11218958,176.11218958,176.11218958,176.11218958,176.112189578,176.112189578,176.112189578,0,75.25681864,94.112342555,94.112342555,118.912738905,118.912738905,118.91273891,139.839507285,221.313868795,221.313868794,221.313868794,221.313868795,221.313868795,221.313868795,221.313868795,221.313868795,247.85228619,247.852286205,247.852286205,247.85228619,247.85228619,247.85228619,401.000000004994,401.000000004994
"Tribolium_madens",176.112189575,176.11218957,176.11218957,176.11218958,176.11218958,176.112189584,176.112189584,176.112189584,176.1121895835,176.1121895835,176.11218958,176.112189585,176.112189585,176.112189585,176.11218958,176.1121895775,176.1121895775,176.11218958,176.11218958,176.11218958,176.11218958,176.112189578,176.112189578,176.112189578,75.25681864,0,94.112342555,94.112342555,118.912738905,118.912738905,118.91273891,139.839507285,221.313868795,221.313868794,221.313868794,221.313868795,221.313868795,221.313868795,221.313868795,221.313868795,247.85228619,247.852286205,247.852286205,247.85228619,247.85228619,247.85228619,401.000000004994,401.000000004994
"Anoplophora_glabripennis",176.11218958,176.112189575,176.112189575,176.112189585,176.112189585,176.112189589,176.112189589,176.112189589,176.1121895885,176.1121895885,176.112189585,176.11218959,176.11218959,176.11218959,176.112189585,176.1121895825,176.1121895825,176.112189585,176.112189585,176.112189585,176.112189585,176.112189583,176.112189583,176.112189583,94.112342555,94.112342555,0,79.60532597,118.91273891,118.91273891,118.912738915,139.83950729,221.3138688,221.313868799,221.313868799,221.3138688,221.3138688,221.3138688,221.3138688,221.3138688,247.852286195,247.85228621,247.85228621,247.852286195,247.852286195,247.852286195,401.000000009994,401.000000009994
"Diabrotica_virgifera_virgifera",176.11218958,176.112189575,176.112189575,176.112189585,176.112189585,176.112189589,176.112189589,176.112189589,176.1121895885,176.1121895885,176.112189585,176.11218959,176.11218959,176.11218959,176.112189585,176.1121895825,176.1121895825,176.112189585,176.112189585,176.112189585,176.112189585,176.112189583,176.112189583,176.112189583,94.112342555,94.112342555,79.60532597,0,118.91273891,118.91273891,118.912738915,139.83950729,221.3138688,221.313868799,221.313868799,221.3138688,221.3138688,221.3138688,221.3138688,221.3138688,247.852286195,247.85228621,247.85228621,247.852286195,247.852286195,247.852286195,401.000000009994,401.000000009994
"Anthonomus_grandis",176.11218957,176.112189565,176.112189565,176.112189575,176.112189575,176.112189579,176.112189579,176.112189579,176.1121895785,176.1121895785,176.112189575,176.11218958,176.11218958,176.11218958,176.112189575,176.1121895725,176.1121895725,176.112189575,176.112189575,176.112189575,176.112189575,176.112189573,176.112189573,176.112189573,118.912738905,118.912738905,118.91273891,118.91273891,0,77.3986594,99.894628335,139.83950728,221.31386879,221.313868789,221.313868789,221.31386879,221.31386879,221.31386879,221.31386879,221.31386879,247.852286185,247.8522862,247.8522862,247.852286185,247.852286185,247.852286185,400.999999999994,400.999999999994
"Dendroctonus_ponderosae",176.11218957,176.112189565,176.112189565,176.112189575,176.112189575,176.112189579,176.112189579,176.112189579,176.1121895785,176.1121895785,176.112189575,176.11218958,176.11218958,176.11218958,176.112189575,176.1121895725,176.1121895725,176.112189575,176.112189575,176.112189575,176.112189575,176.112189573,176.112189573,176.112189573,118.912738905,118.912738905,118.91273891,118.91273891,77.3986594,0,99.894628335,139.83950728,221.31386879,221.313868789,221.313868789,221.31386879,221.31386879,221.31386879,221.31386879,221.31386879,247.852286185,247.8522862,247.8522862,247.852286185,247.852286185,247.852286185,400.999999999994,400.999999999994
"Platypus_cylindrus",176.112189575,176.11218957,176.11218957,176.11218958,176.11218958,176.112189584,176.112189584,176.112189584,176.1121895835,176.1121895835,176.11218958,176.112189585,176.112189585,176.112189585,176.11218958,176.1121895775,176.1121895775,176.11218958,176.11218958,176.11218958,176.11218958,176.112189578,176.112189578,176.112189578,118.91273891,118.91273891,118.912738915,118.912738915,99.894628335,99.894628335,0,139.839507285,221.313868795,221.313868794,221.313868794,221.313868795,221.313868795,221.313868795,221.313868795,221.313868795,247.85228619,247.852286205,247.852286205,247.85228619,247.85228619,247.85228619,401.000000004994,401.000000004994
"Agrilus_planipennis",176.11218959,176.112189585,176.112189585,176.112189595,176.112189595,176.112189599,176.112189599,176.112189599,176.1121895985,176.1121895985,176.112189595,176.1121896,176.1121896,176.1121896,176.112189595,176.1121895925,176.1121895925,176.112189595,176.112189595,176.112189595,176.112189595,176.112189593,176.112189593,176.112189593,139.839507285,139.839507285,139.83950729,139.83950729,139.83950728,139.83950728,139.839507285,0,221.31386881,221.313868809,221.313868809,221.31386881,221.31386881,221.31386881,221.31386881,221.31386881,247.852286205,247.85228622,247.85228622,247.852286205,247.852286205,247.852286205,401.000000019994,401.000000019994
"Drosophila_subpulchrella",221.31386879,221.313868785,221.313868785,221.313868795,221.313868795,221.313868799,221.313868799,221.313868799,221.3138687985,221.3138687985,221.313868795,221.3138688,221.3138688,221.3138688,221.313868795,221.3138687925,221.3138687925,221.313868795,221.313868795,221.313868795,221.313868795,221.313868793,221.313868793,221.313868793,221.313868795,221.313868795,221.3138688,221.3138688,221.31386879,221.31386879,221.313868795,221.31386881,0,25.547747749,25.547747749,25.54774775,25.54774775,25.54774775,55.09726389,87.88571449,247.852286185,247.8522862,247.8522862,247.852286185,247.852286185,247.852286185,400.999999999994,400.999999999994
"Drosophila_erecta",221.313868789,221.313868784,221.313868784,221.313868794,221.313868794,221.313868798,221.313868798,221.313868798,221.3138687975,221.3138687975,221.313868794,221.313868799,221.313868799,221.313868799,221.313868794,221.3138687915,221.3138687915,221.313868794,221.313868794,221.313868794,221.313868794,221.313868792,221.313868792,221.313868792,221.313868794,221.313868794,221.313868799,221.313868799,221.313868789,221.313868789,221.313868794,221.313868809,25.547747749,0,16.21287251,20.641499415,20.641499415,20.641499415,55.097263889,87.885714489,247.852286184,247.852286199,247.852286199,247.852286184,247.852286184,247.852286184,400.999999998994,400.999999998994
"Drosophila_yakuba",221.313868789,221.313868784,221.313868784,221.313868794,221.313868794,221.313868798,221.313868798,221.313868798,221.3138687975,221.3138687975,221.313868794,221.313868799,221.313868799,221.313868799,221.313868794,221.3138687915,221.3138687915,221.313868794,221.313868794,221.313868794,221.313868794,221.313868792,221.313868792,221.313868792,221.313868794,221.313868794,221.313868799,221.313868799,221.313868789,221.313868789,221.313868794,221.313868809,25.547747749,16.21287251,0,20.641499415,20.641499415,20.641499415,55.097263889,87.885714489,247.852286184,247.852286199,247.852286199,247.852286184,247.852286184,247.852286184,400.999999998994,400.999999998994
"Drosophila_mauritiana",221.31386879,221.313868785,221.313868785,221.313868795,221.313868795,221.313868799,221.313868799,221.313868799,221.3138687985,221.3138687985,221.313868795,221.3138688,221.3138688,221.3138688,221.313868795,221.3138687925,221.3138687925,221.313868795,221.313868795,221.313868795,221.313868795,221.313868793,221.313868793,221.313868793,221.313868795,221.313868795,221.3138688,221.3138688,221.31386879,221.31386879,221.313868795,221.31386881,25.54774775,20.641499415,20.641499415,0,6.516867439,9.864559486,55.09726389,87.88571449,247.852286185,247.8522862,247.8522862,247.852286185,247.852286185,247.852286185,400.999999999994,400.999999999994
"Drosophila_simulans",221.31386879,221.313868785,221.313868785,221.313868795,221.313868795,221.313868799,221.313868799,221.313868799,221.3138687985,221.3138687985,221.313868795,221.3138688,221.3138688,221.3138688,221.313868795,221.3138687925,221.3138687925,221.313868795,221.313868795,221.313868795,221.313868795,221.313868793,221.313868793,221.313868793,221.313868795,221.313868795,221.3138688,221.3138688,221.31386879,221.31386879,221.313868795,221.31386881,25.54774775,20.641499415,20.641499415,6.516867439,0,9.864559486,55.09726389,87.88571449,247.852286185,247.8522862,247.8522862,247.852286185,247.852286185,247.852286185,400.999999999994,400.999999999994
"Drosophila_melanogaster",221.31386879,221.313868785,221.313868785,221.313868795,221.313868795,221.313868799,221.313868799,221.313868799,221.3138687985,221.3138687985,221.313868795,221.3138688,221.3138688,221.3138688,221.313868795,221.3138687925,221.3138687925,221.313868795,221.313868795,221.313868795,221.313868795,221.313868793,221.313868793,221.313868793,221.313868795,221.313868795,221.3138688,221.3138688,221.31386879,221.31386879,221.313868795,221.31386881,25.54774775,20.641499415,20.641499415,9.864559486,9.864559486,0,55.09726389,87.88571449,247.852286185,247.8522862,247.8522862,247.852286185,247.852286185,247.852286185,400.999999999994,400.999999999994
"Drosophila_pseudoobscura",221.31386879,221.313868785,221.313868785,221.313868795,221.313868795,221.313868799,221.313868799,221.313868799,221.3138687985,221.3138687985,221.313868795,221.3138688,221.3138688,221.3138688,221.313868795,221.3138687925,221.3138687925,221.313868795,221.313868795,221.313868795,221.313868795,221.313868793,221.313868793,221.313868793,221.313868795,221.313868795,221.3138688,221.3138688,221.31386879,221.31386879,221.313868795,221.31386881,55.09726389,55.097263889,55.097263889,55.09726389,55.09726389,55.09726389,0,87.88571449,247.852286185,247.8522862,247.8522862,247.852286185,247.852286185,247.852286185,400.999999999994,400.999999999994
"Lucilia_cuprina",221.31386879,221.313868785,221.313868785,221.313868795,221.313868795,221.313868799,221.313868799,221.313868799,221.3138687985,221.3138687985,221.313868795,221.3138688,221.3138688,221.3138688,221.313868795,221.3138687925,221.3138687925,221.313868795,221.313868795,221.313868795,221.313868795,221.313868793,221.313868793,221.313868793,221.313868795,221.313868795,221.3138688,221.3138688,221.31386879,221.31386879,221.313868795,221.31386881,87.88571449,87.885714489,87.885714489,87.88571449,87.88571449,87.88571449,87.88571449,0,247.852286185,247.8522862,247.8522862,247.852286185,247.852286185,247.852286185,400.999999999994,400.999999999994
"Blattella_germanica",247.852286185,247.85228618,247.85228618,247.85228619,247.85228619,247.852286194,247.852286194,247.852286194,247.8522861935,247.8522861935,247.85228619,247.852286195,247.852286195,247.852286195,247.85228619,247.8522861875,247.8522861875,247.85228619,247.85228619,247.85228619,247.85228619,247.852286188,247.852286188,247.852286188,247.85228619,247.85228619,247.852286195,247.852286195,247.852286185,247.852286185,247.85228619,247.852286205,247.852286185,247.852286184,247.852286184,247.852286185,247.852286185,247.852286185,247.852286185,247.852286185,0,134.010874715,134.010874715,208.70415765,208.70415765,208.70415765,400.999999984994,400.999999984994
"Cryptotermes_secundus",247.8522862,247.852286195,247.852286195,247.852286205,247.852286205,247.852286209,247.852286209,247.852286209,247.8522862085,247.8522862085,247.852286205,247.85228621,247.85228621,247.85228621,247.852286205,247.8522862025,247.8522862025,247.852286205,247.852286205,247.852286205,247.852286205,247.852286203,247.852286203,247.852286203,247.852286205,247.852286205,247.85228621,247.85228621,247.8522862,247.8522862,247.852286205,247.85228622,247.8522862,247.852286199,247.852286199,247.8522862,247.8522862,247.8522862,247.8522862,247.8522862,134.010874715,0,74.36396539,208.704157665,208.704157665,208.704157665,400.999999999994,400.999999999994
"Zootermopsis_nevadensis",247.8522862,247.852286195,247.852286195,247.852286205,247.852286205,247.852286209,247.852286209,247.852286209,247.8522862085,247.8522862085,247.852286205,247.85228621,247.85228621,247.85228621,247.852286205,247.8522862025,247.8522862025,247.852286205,247.852286205,247.852286205,247.852286205,247.852286203,247.852286203,247.852286203,247.852286205,247.852286205,247.85228621,247.85228621,247.8522862,247.8522862,247.852286205,247.85228622,247.8522862,247.852286199,247.852286199,247.8522862,247.8522862,247.8522862,247.8522862,247.8522862,134.010874715,74.36396539,0,208.704157665,208.704157665,208.704157665,400.999999999994,400.999999999994
"Schistocerca_nitens",247.852286185,247.85228618,247.85228618,247.85228619,247.85228619,247.852286194,247.852286194,247.852286194,247.8522861935,247.8522861935,247.85228619,247.852286195,247.852286195,247.852286195,247.85228619,247.8522861875,247.8522861875,247.85228619,247.85228619,247.85228619,247.85228619,247.852286188,247.852286188,247.852286188,247.85228619,247.85228619,247.852286195,247.852286195,247.852286185,247.852286185,247.85228619,247.852286205,247.852286185,247.852286184,247.852286184,247.852286185,247.852286185,247.852286185,247.852286185,247.852286185,208.70415765,208.704157665,208.704157665,0,13.64624834,33.78936695,400.999999984994,400.999999984994
"Schistocerca_serialis",247.852286185,247.85228618,247.85228618,247.85228619,247.85228619,247.852286194,247.852286194,247.852286194,247.8522861935,247.8522861935,247.85228619,247.852286195,247.852286195,247.852286195,247.85228619,247.8522861875,247.8522861875,247.85228619,247.85228619,247.85228619,247.85228619,247.852286188,247.852286188,247.852286188,247.85228619,247.85228619,247.852286195,247.852286195,247.852286185,247.852286185,247.85228619,247.852286205,247.852286185,247.852286184,247.852286184,247.852286185,247.852286185,247.852286185,247.852286185,247.852286185,208.70415765,208.704157665,208.704157665,13.64624834,0,33.78936695,400.999999984994,400.999999984994
"Schistocerca_gregaria",247.852286185,247.85228618,247.85228618,247.85228619,247.85228619,247.852286194,247.852286194,247.852286194,247.8522861935,247.8522861935,247.85228619,247.852286195,247.852286195,247.852286195,247.85228619,247.8522861875,247.8522861875,247.85228619,247.85228619,247.85228619,247.85228619,247.852286188,247.852286188,247.852286188,247.85228619,247.85228619,247.852286195,247.852286195,247.852286185,247.852286185,247.85228619,247.852286205,247.852286185,247.852286184,247.852286184,247.852286185,247.852286185,247.852286185,247.852286185,247.852286185,208.70415765,208.704157665,208.704157665,33.78936695,33.78936695,0,400.999999984994,400.999999984994
"Ischnura_elegans",400.999999999994,400.999999994994,400.999999994994,401.000000004994,401.000000004994,401.000000008994,401.000000008994,401.000000008994,401.000000008494,401.000000008494,401.000000004994,401.000000009994,401.000000009994,401.000000009994,401.000000004994,401.000000002494,401.000000002494,401.000000004994,401.000000004994,401.000000004994,401.000000004994,401.000000002994,401.000000002994,401.000000002994,401.000000004994,401.000000004994,401.000000009994,401.000000009994,400.999999999994,400.999999999994,401.000000004994,401.000000019994,400.999999999994,400.999999998994,400.999999998994,400.999999999994,400.999999999994,400.999999999994,400.999999999994,400.999999999994,400.999999984994,400.999999999994,400.999999999994,400.999999984994,400.999999984994,400.999999984994,0,401
"Pantala_flavescens",400.999999999994,400.999999994994,400.999999994994,401.000000004994,401.000000004994,401.000000008994,401.000000008994,401.000000008994,401.000000008494,401.000000008494,401.000000004994,401.000000009994,401.000000009994,401.000000009994,401.000000004994,401.000000002494,401.000000002494,401.000000004994,401.000000004994,401.000000004994,401.000000004994,401.000000002994,401.000000002994,401.000000002994,401.000000004994,401.000000004994,401.000000009994,401.000000009994,400.999999999994,400.999999999994,401.000000004994,401.000000019994,400.999999999994,400.999999998994,400.999999998994,400.999999999994,400.999999999994,400.999999999994,400.999999999994,400.999999999994,400.999999984994,400.999999999994,400.999999999994,400.999999984994,400.999999984994,400.999999984994,401,0
