Species,Polistes_canadensis_canadensis,Polistes_fuscatus,Polistes_dominula,Vespa_crabro,Vespa_velutina,Vespula_pensylvanica,Osmia_bicornis_bicornis,Osmia_lignaria,Megachile_rotundata,Bombus_vancouverensis_nearcticus,Bombus_vosnesenskii,Formica_exsecta,Nylanderia_fulva,Camponotus_floridanus,Monomorium_pharaonis,Pogonomyrmex_barbatus,Ooceraea_biroi,Chelonus_insularis,Microplitis_demolitor,Aphidius_gifuensis,Neodiprion_fabricii,Neodiprion_virginiana,Diprion_similis,Athalia_rosae,Aethina_tumida,Tribolium_madens,Anoplophora_glabripennis,Diabrotica_virgifera_virgifera,Anthonomus_grandis_grandis,Dendroctonus_ponderosae,Platypus_cylindrus*,Agrilus_planipennis,Drosophila_mauritiana,Drosophila_simulans,Drosophila_melanogaster,Drosophila_erecta,Drosophila_yakuba,Drosophila_subpulchrella,Drosophila_pseudoobscura,Lucilia_cuprina,Cryptotermes_secundus,Zootermopsis_nevadensis,Blattella_germanica*,Schistocera_nitens,Schistocera_serialis,Schistocera_gregaria,Ischnura_elegans,Pantala_flavescens*
Diprion_similis,-7.676331362,-7.676331362,-7.676331358,-7.676331366,-7.676331366,-7.676331363,-7.676331361,-7.676331361,-7.676331362,-7.676331358,-7.676331358,-7.676331353,-7.676331353,-7.676331361,-7.676331356,-7.676331356,-7.676331356,-7.67633135,-7.676331345,-7.676331356,15.05358942,15.05358942,0,-7.892857528,50.84013256,50.84013256,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453325,5.638453325,5.638453325,5.638453324,5.638453324,5.638453326,5.638453327,5.638453322,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-3.00E-09,-3.00E-09
Athalia_rosae,-7.676331364,-7.676331364,-7.67633136,-7.676331368,-7.676331368,-7.676331365,-7.676331364,-7.676331364,-7.676331364,-7.67633136,-7.67633136,-7.676331356,-7.676331356,-7.676331363,-7.676331358,-7.676331358,-7.676331358,-7.676331353,-7.676331348,-7.676331358,-7.892857527,-7.892857527,-7.892857528,0,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453323,5.638453323,5.638453323,5.638453322,5.638453322,5.638453324,5.638453325,5.63845332,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-5.00E-09,-5.00E-09
Aethina_tumida,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013256,50.84013255,50.84013256,50.84013256,50.84013256,50.84013256,50.84013257,50.84013256,50.84013256,50.84013256,50.84013256,50.84013255,0,-18.46747128,-29.24550096,-29.24550096,-54.04589731,-54.04589731,-54.04589731,-37.32773729,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.17599811,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-1.05E-08,-1.05E-08
Tribolium_madens,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013256,50.84013255,50.84013256,50.84013256,50.84013256,50.84013256,50.84013257,50.84013256,50.84013256,50.84013256,50.84013256,50.84013255,-18.46747128,0,-29.24550096,-29.24550096,-54.04589731,-54.04589731,-54.04589731,-37.32773729,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.17599811,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-1.05E-08,-1.05E-08
Anoplophora_glabripennis,50.84013254,50.84013254,50.84013255,50.84013254,50.84013254,50.84013254,50.84013254,50.84013254,50.84013254,50.84013255,50.84013255,50.84013255,50.84013255,50.84013254,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,-29.24550096,-29.24550096,0,-43.7722961,-67.09364056,-67.09364056,-67.09364056,-37.3277373,-27.17599811,-27.17599811,-27.17599811,-27.17599811,-27.17599811,-27.17599811,-27.17599811,-27.17599812,53.73437846,53.73437846,53.73437848,53.73437849,53.73437849,53.73437849,-2.00E-08,-2.00E-08
Diabrotica_virgifera_virgifera,50.84013254,50.84013254,50.84013255,50.84013254,50.84013254,50.84013254,50.84013254,50.84013254,50.84013254,50.84013255,50.84013255,50.84013255,50.84013255,50.84013254,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,-29.24550096,-29.24550096,-43.7722961,0,-67.09364056,-67.09364056,-67.09364056,-37.3277373,-27.17599811,-27.17599811,-27.17599811,-27.17599811,-27.17599811,-27.17599811,-27.17599811,-27.17599812,53.73437846,53.73437846,53.73437848,53.73437849,53.73437849,53.73437849,-2.00E-08,-2.00E-08
Anthonomus_grandis_grandis,50.84013255,50.84013255,50.84013256,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013256,50.84013255,50.84013256,50.84013256,50.84013256,50.84013256,50.84013257,50.84013256,50.84013256,50.84013256,50.84013256,50.84013256,-54.04589731,-54.04589731,-67.09364056,-67.09364056,0,-51.35598803,-59.47851135,-37.32773729,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.17599811,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-1.00E-08,-1.00E-08
Dendroctonus_ponderosae,50.84013255,50.84013255,50.84013256,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013256,50.84013255,50.84013256,50.84013256,50.84013256,50.84013256,50.84013257,50.84013256,50.84013256,50.84013256,50.84013256,50.84013256,-54.04589731,-54.04589731,-67.09364056,-67.09364056,-51.35598803,0,-59.47851135,-37.32773729,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.17599811,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-1.00E-08,-1.00E-08
Platypus_cylindrus*,50.84013255,50.84013255,50.84013256,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013256,50.84013255,50.84013256,50.84013256,50.84013256,50.84013256,50.84013257,50.84013256,50.84013256,50.84013256,50.84013256,50.84013256,-54.04589731,-54.04589731,-67.09364056,-67.09364056,-59.47851135,-59.47851135,0,-37.32773729,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.1759981,-27.17599811,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-1.00E-08,-1.00E-08
Agrilus_planipennis,50.84013254,50.84013254,50.84013255,50.84013254,50.84013254,50.84013254,50.84013254,50.84013254,50.84013254,50.84013255,50.84013255,50.84013255,50.84013255,50.84013254,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013255,50.84013255,50.84013255,50.84013255,50.84013255,-37.32773729,-37.32773729,-37.3277373,-37.3277373,-37.32773729,-37.32773729,-37.32773729,0,-27.17599811,-27.17599811,-27.17599811,-27.17599811,-27.17599811,-27.17599811,-27.17599811,-27.17599812,53.73437846,53.73437846,53.73437848,53.73437849,53.73437849,53.73437849,-2.00E-08,-2.00E-08
Drosophila_mauritiana,5.638453319,5.638453319,5.638453323,5.638453316,5.638453316,5.638453318,5.63845332,5.63845332,5.638453319,5.638453323,5.638453323,5.638453328,5.638453328,5.638453321,5.638453326,5.638453326,5.638453326,5.638453331,5.638453336,5.638453326,5.638453326,5.638453326,5.638453325,5.638453323,-27.1759981,-27.1759981,-27.17599811,-27.17599811,-27.1759981,-27.1759981,-27.1759981,-27.17599811,0,2.8976664,0.801394554,-5.156179488,-5.156179488,-0.81321544,-22.79046121,-25.33129762,53.73437846,53.73437846,53.73437848,53.73437849,53.73437849,53.73437849,-2.20E-08,-2.20E-08
Drosophila_simulans,5.638453319,5.638453319,5.638453323,5.638453316,5.638453316,5.638453318,5.63845332,5.63845332,5.638453319,5.638453323,5.638453323,5.638453328,5.638453328,5.638453321,5.638453326,5.638453326,5.638453326,5.638453331,5.638453336,5.638453326,5.638453326,5.638453326,5.638453325,5.638453323,-27.1759981,-27.1759981,-27.17599811,-27.17599811,-27.1759981,-27.1759981,-27.1759981,-27.17599811,2.8976664,0,0.801394554,-5.156179488,-5.156179488,-0.81321544,-22.79046121,-25.33129762,53.73437846,53.73437846,53.73437848,53.73437849,53.73437849,53.73437849,-2.20E-08,-2.20E-08
Drosophila_melanogaster,5.638453319,5.638453319,5.638453323,5.638453316,5.638453316,5.638453318,5.63845332,5.63845332,5.638453319,5.638453323,5.638453323,5.638453328,5.638453328,5.638453321,5.638453326,5.638453326,5.638453326,5.638453331,5.638453336,5.638453326,5.638453326,5.638453326,5.638453325,5.638453323,-27.1759981,-27.1759981,-27.17599811,-27.17599811,-27.1759981,-27.1759981,-27.1759981,-27.17599811,0.801394554,0.801394554,0,-5.156179488,-5.156179488,-0.81321544,-22.79046121,-25.33129762,53.73437846,53.73437846,53.73437848,53.73437849,53.73437849,53.73437849,-2.20E-08,-2.20E-08
Drosophila_erecta,5.638453318,5.638453318,5.638453322,5.638453315,5.638453315,5.638453317,5.638453319,5.638453319,5.638453318,5.638453322,5.638453322,5.638453327,5.638453327,5.63845332,5.638453325,5.638453325,5.638453325,5.63845333,5.638453335,5.638453325,5.638453325,5.638453325,5.638453324,5.638453322,-27.1759981,-27.1759981,-27.17599811,-27.17599811,-27.1759981,-27.1759981,-27.1759981,-27.17599811,-5.156179488,-5.156179488,-5.156179488,0,-3.47700949,-0.813215441,-22.79046121,-25.33129762,53.73437846,53.73437846,53.73437848,53.73437849,53.73437849,53.73437849,-2.30E-08,-2.30E-08
Drosophila_yakuba,5.638453318,5.638453318,5.638453322,5.638453315,5.638453315,5.638453317,5.638453319,5.638453319,5.638453318,5.638453322,5.638453322,5.638453327,5.638453327,5.63845332,5.638453325,5.638453325,5.638453325,5.63845333,5.638453335,5.638453325,5.638453325,5.638453325,5.638453324,5.638453322,-27.1759981,-27.1759981,-27.17599811,-27.17599811,-27.1759981,-27.1759981,-27.1759981,-27.17599811,-5.156179488,-5.156179488,-5.156179488,-3.47700949,0,-0.813215441,-22.79046121,-25.33129762,53.73437846,53.73437846,53.73437848,53.73437849,53.73437849,53.73437849,-2.30E-08,-2.30E-08
Drosophila_subpulchrella,5.63845332,5.63845332,5.638453324,5.638453316,5.638453316,5.638453319,5.63845332,5.63845332,5.63845332,5.638453324,5.638453324,5.638453328,5.638453328,5.638453321,5.638453326,5.638453326,5.638453326,5.638453331,5.638453336,5.638453326,5.638453326,5.638453326,5.638453326,5.638453324,-27.1759981,-27.1759981,-27.17599811,-27.17599811,-27.1759981,-27.1759981,-27.1759981,-27.17599811,-0.81321544,-0.81321544,-0.81321544,-0.813215441,-0.813215441,0,-22.79046121,-25.33129762,53.73437846,53.73437846,53.73437848,53.73437849,53.73437849,53.73437849,-2.15E-08,-2.15E-08
Drosophila_pseudoobscura,5.638453321,5.638453321,5.638453325,5.638453317,5.638453317,5.63845332,5.638453322,5.638453322,5.638453321,5.638453325,5.638453325,5.63845333,5.63845333,5.638453323,5.638453328,5.638453328,5.638453328,5.638453332,5.638453337,5.638453328,5.638453328,5.638453328,5.638453327,5.638453325,-27.1759981,-27.1759981,-27.17599811,-27.17599811,-27.1759981,-27.1759981,-27.1759981,-27.17599811,-22.79046121,-22.79046121,-22.79046121,-22.79046121,-22.79046121,-22.79046121,0,-25.33129762,53.73437846,53.73437846,53.73437848,53.73437849,53.73437849,53.73437849,-2.00E-08,-2.00E-08
Lucilia_cuprina,5.638453316,5.638453316,5.63845332,5.638453313,5.638453313,5.638453315,5.638453317,5.638453317,5.638453316,5.63845332,5.63845332,5.638453325,5.638453325,5.638453318,5.638453323,5.638453323,5.638453323,5.638453328,5.638453332,5.638453323,5.638453323,5.638453323,5.638453322,5.63845332,-27.17599811,-27.17599811,-27.17599812,-27.17599812,-27.17599811,-27.17599811,-27.17599811,-27.17599812,-25.33129762,-25.33129762,-25.33129762,-25.33129762,-25.33129762,-25.33129762,-25.33129762,0,53.73437846,53.73437846,53.73437848,53.73437849,53.73437849,53.73437849,-2.50E-08,-2.50E-08
Cryptotermes_secundus,53.73437847,53.73437847,53.73437848,53.73437847,53.73437847,53.73437847,53.73437847,53.73437847,53.73437847,53.73437848,53.73437848,53.73437848,53.73437848,53.73437847,53.73437848,53.73437848,53.73437848,53.73437848,53.73437849,53.73437848,53.73437848,53.73437848,53.73437848,53.73437848,53.73437847,53.73437847,53.73437846,53.73437846,53.73437847,53.73437847,53.73437847,53.73437846,53.73437846,53.73437846,53.73437846,53.73437846,53.73437846,53.73437846,53.73437846,53.73437846,0,-22.080914,24.78647158,50.50991454,50.50991454,50.50991454,-1.00E-08,-1.00E-08
Zootermopsis_nevadensis,53.73437847,53.73437847,53.73437848,53.73437847,53.73437847,53.73437847,53.73437847,53.73437847,53.73437847,53.73437848,53.73437848,53.73437848,53.73437848,53.73437847,53.73437848,53.73437848,53.73437848,53.73437848,53.73437849,53.73437848,53.73437848,53.73437848,53.73437848,53.73437848,53.73437847,53.73437847,53.73437846,53.73437846,53.73437847,53.73437847,53.73437847,53.73437846,53.73437846,53.73437846,53.73437846,53.73437846,53.73437846,53.73437846,53.73437846,53.73437846,-22.080914,0,24.78647158,50.50991454,50.50991454,50.50991454,-1.00E-08,-1.00E-08
Blattella_germanica*,53.73437849,53.73437849,53.7343785,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.7343785,53.7343785,53.7343785,53.7343785,53.73437849,53.7343785,53.7343785,53.7343785,53.7343785,53.73437851,53.7343785,53.7343785,53.7343785,53.7343785,53.7343785,53.73437849,53.73437849,53.73437848,53.73437848,53.73437849,53.73437849,53.73437849,53.73437848,53.73437848,53.73437848,53.73437848,53.73437848,53.73437848,53.73437848,53.73437848,53.73437848,24.78647158,24.78647158,0,50.50991456,50.50991456,50.50991456,1.0004E-08,1.0004E-08
Schistocera_nitens,53.7343785,53.7343785,53.73437851,53.7343785,53.7343785,53.7343785,53.7343785,53.7343785,53.7343785,53.73437851,53.73437851,53.73437851,53.73437851,53.7343785,53.73437851,53.73437851,53.73437851,53.73437851,53.73437852,53.73437851,53.73437851,53.73437851,53.73437851,53.73437851,53.7343785,53.7343785,53.73437849,53.73437849,53.7343785,53.7343785,53.7343785,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,50.50991454,50.50991454,50.50991456,0,-0.46448291,-10.51496713,2.0004E-08,2.0004E-08
Schistocera_serialis,53.7343785,53.7343785,53.73437851,53.7343785,53.7343785,53.7343785,53.7343785,53.7343785,53.7343785,53.73437851,53.73437851,53.73437851,53.73437851,53.7343785,53.73437851,53.73437851,53.73437851,53.73437851,53.73437852,53.73437851,53.73437851,53.73437851,53.73437851,53.73437851,53.7343785,53.7343785,53.73437849,53.73437849,53.7343785,53.7343785,53.7343785,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,50.50991454,50.50991454,50.50991456,-0.46448291,0,-10.51496713,2.0004E-08,2.0004E-08
Schistocera_gregaria,53.7343785,53.7343785,53.73437851,53.7343785,53.7343785,53.7343785,53.7343785,53.7343785,53.7343785,53.73437851,53.73437851,53.73437851,53.73437851,53.7343785,53.73437851,53.73437851,53.73437851,53.73437851,53.73437852,53.73437851,53.73437851,53.73437851,53.73437851,53.73437851,53.7343785,53.7343785,53.73437849,53.73437849,53.7343785,53.7343785,53.7343785,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,53.73437849,50.50991454,50.50991454,50.50991456,-10.51496713,-10.51496713,0,2.0004E-08,2.0004E-08
Ischnura_elegans,-9.00E-09,-9.00E-09,-5.00E-09,-1.25E-08,-1.25E-08,-1.00E-08,-8.50E-09,-8.50E-09,-9.00E-09,-4.85E-09,-4.85E-09,-4.96E-10,-4.96E-10,-7.50E-09,-2.50E-09,-2.50E-09,-2.50E-09,2.50395E-09,7.50396E-09,-2.50E-09,-2.00E-09,-2.00E-09,-3.00E-09,-5.00E-09,-1.05E-08,-1.05E-08,-2.00E-08,-2.00E-08,-1.00E-08,-1.00E-08,-1.00E-08,-2.00E-08,-2.20E-08,-2.20E-08,-2.20E-08,-2.30E-08,-2.30E-08,-2.15E-08,-2.00E-08,-2.50E-08,-1.00E-08,-1.00E-08,1.0004E-08,2.0004E-08,2.0004E-08,2.0004E-08,0,0
Pantala_flavescens*,-9.00E-09,-9.00E-09,-5.00E-09,-1.25E-08,-1.25E-08,-1.00E-08,-8.50E-09,-8.50E-09,-9.00E-09,-4.85E-09,-4.85E-09,-4.96E-10,-4.96E-10,-7.50E-09,-2.50E-09,-2.50E-09,-2.50E-09,2.50395E-09,7.50396E-09,-2.50E-09,-2.00E-09,-2.00E-09,-3.00E-09,-5.00E-09,-1.05E-08,-1.05E-08,-2.00E-08,-2.00E-08,-1.00E-08,-1.00E-08,-1.00E-08,-2.00E-08,-2.20E-08,-2.20E-08,-2.20E-08,-2.30E-08,-2.30E-08,-2.15E-08,-2.00E-08,-2.50E-08,-1.00E-08,-1.00E-08,1.0004E-08,2.0004E-08,2.0004E-08,2.0004E-08,0,0
