,Drosophila_erecta,Drosophila_yakuba,Drosophila_sechellia,Drosophila_simulans,Drosophila_melanogaster,Drosophila_subpulchrella,Drosophila_pseudoobscura,Lucilia_cuprina,Aethina_tumida,Tribolium_madens,Anoplophora_glabripennis,Diabrotica_virgifera_virgifera,Anthonomus_grandis_grandis,Dendroctonus_ponderosae,Sitophilus_oryzae,Platypus_cylindrus*,Agrilus_planipennis,Photinus_pyralis,Aphidius_gifuensis,Chelonus_insularis,Cotesia_glomerata,Bombus_vancouverensis_nearcticus,Bombus_vosnesenskii,Megachile_rotundata,Osmia_bicornis_bicornis,Osmia_lignaria,Polistes_canadensis_canadensis,Polistes_fuscatus,Polistes_dominula,Vespa_mandarinia,Vespa_velutina,Vespula_pensylvanica,Camponotus_floridanus,Formica_exsecta,Nylanderia_fulva,Monomorium_pharaonis,Pogonomyrmex_barbatus,Ooceraea_biroi,Athalia_rosae,Diprion_similis,Neodiprion_fabricii,Neodiprion_virginiana,Neodiprion_lecontei,Blattella_germanica*,Cryptotermes_secundus,Zootermopsis_nevadensis,Schistocera_cancellata,Schistocera_gregaria,Schistocera_nitens,Schistocera_serialis,Ischnura_elegans,Pantala_flavescens*,Tanypteryx_hageni*
Drosophila_erecta,0,12.73586302,15.48531993,15.48531993,15.48531993,24.73453231,32.30680268,62.55441687,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Drosophila_yakuba,12.73586302,0,15.48531993,15.48531993,15.48531993,24.73453231,32.30680268,62.55441687,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Drosophila_sechellia,15.48531993,15.48531993,0,9.414533839,10.66595404,24.73453231,32.30680268,62.55441687,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Drosophila_simulans,15.48531993,15.48531993,9.414533839,0,10.66595404,24.73453231,32.30680268,62.55441687,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Drosophila_melanogaster,15.48531993,15.48531993,10.66595404,10.66595404,0,24.73453231,32.30680268,62.55441687,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Drosophila_subpulchrella,24.73453231,24.73453231,24.73453231,24.73453231,24.73453231,0,32.30680268,62.55441687,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Drosophila_pseudoobscura,32.30680268,32.30680268,32.30680268,32.30680268,32.30680268,32.30680268,0,62.55441688,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Lucilia_cuprina,62.55441687,62.55441687,62.55441687,62.55441687,62.55441687,62.55441687,62.55441688,0,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Aethina_tumida,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,0,56.78934736,64.86684159,64.8668416,64.8668416,64.8668416,64.8668416,64.8668416,102.51177,102.51177,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Tribolium_madens,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,56.78934736,0,64.86684159,64.8668416,64.8668416,64.8668416,64.8668416,64.8668416,102.51177,102.51177,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Anoplophora_glabripennis,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,64.86684159,64.86684159,0,35.83302987,51.81909835,51.81909835,51.81909835,51.81909836,102.51177,102.51177,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Diabrotica_virgifera_virgifera,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,64.8668416,64.8668416,35.83302987,0,51.81909835,51.81909835,51.81909835,51.81909836,102.51177,102.51177,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Anthonomus_grandis_grandis,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,64.8668416,64.8668416,51.81909835,51.81909835,0,26.04267137,34.97628555,40.41611699,102.51177,102.51177,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Dendroctonus_ponderosae,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,64.8668416,64.8668416,51.81909835,51.81909835,26.04267137,0,34.97628555,40.41611699,102.51177,102.51177,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Sitophilus_oryzae,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,64.8668416,64.8668416,51.81909835,51.81909835,34.97628555,34.97628555,0,40.41611699,102.51177,102.51177,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Platypus_cylindrus*,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,64.8668416,64.8668416,51.81909836,51.81909836,40.41611699,40.41611699,40.41611699,0,102.51177,102.51177,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Agrilus_planipennis,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,102.51177,102.51177,102.51177,102.51177,102.51177,102.51177,102.51177,102.51177,0,76.69024748,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Photinus_pyralis,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,102.51177,102.51177,102.51177,102.51177,102.51177,102.51177,102.51177,102.51177,76.69024748,0,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Aphidius_gifuensis,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,0,72.08492012,72.08492013,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Chelonus_insularis,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,72.08492012,0,54.69193394,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Cotesia_glomerata,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,72.08492013,54.69193394,0,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,135.2147973,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Bombus_vancouverensis_nearcticus,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,0,0.67278027,45.56064753,45.56064753,45.56064753,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Bombus_vosnesenskii,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,0.67278027,0,45.56064753,45.56064753,45.56064753,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Megachile_rotundata,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,45.56064753,45.56064753,0,26.21088732,26.21088732,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
