,Drosophila_erecta,Drosophila_yakuba,Drosophila_sechellia,Drosophila_simulans,Drosophila_melanogaster,Drosophila_subpulchrella,Drosophila_pseudoobscura,Lucilia_cuprina,Aethina_tumida,Tribolium_madens,Anoplophora_glabripennis,Diabrotica_virgifera_virgifera,Anthonomus_grandis_grandis,Dendroctonus_ponderosae,Sitophilus_oryzae,Platypus_cylindrus*,Agrilus_planipennis,Photinus_pyralis,Aphidius_gifuensis,Chelonus_insularis,Cotesia_glomerata,Bombus_vancouverensis_nearcticus,Bombus_vosnesenskii,Megachile_rotundata,Osmia_bicornis_bicornis,Osmia_lignaria,Polistes_canadensis_canadensis,Polistes_fuscatus,Polistes_dominula,Vespa_mandarinia,Vespa_velutina,Vespula_pensylvanica,Camponotus_floridanus,Formica_exsecta,Nylanderia_fulva,Monomorium_pharaonis,Pogonomyrmex_barbatus,Ooceraea_biroi,Athalia_rosae,Diprion_similis,Neodiprion_fabricii,Neodiprion_virginiana,Neodiprion_lecontei,Blattella_germanica*,Cryptotermes_secundus,Zootermopsis_nevadensis,Schistocera_cancellata,Schistocera_gregaria,Schistocera_nitens,Schistocera_serialis,Ischnura_elegans,Pantala_flavescens*,Tanypteryx_hageni*
Osmia_bicornis_bicornis,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,45.56064753,45.56064753,26.21088732,0,6.696605301,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Osmia_lignaria,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,45.56064753,45.56064753,26.21088732,6.696605301,0,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Polistes_canadensis_canadensis,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,0,10.7908328,14.54044893,33.76436169,33.76436169,33.76436169,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Polistes_fuscatus,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,10.7908328,0,14.54044893,33.76436169,33.76436169,33.76436169,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Polistes_dominula,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,14.54044893,14.54044893,0,33.76436169,33.76436169,33.76436169,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Vespa_mandarinia,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,33.76436169,33.76436169,33.76436169,0,8.574290475,21.55566323,98.32682693,98.32682693,98.32682693,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Vespa_velutina,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,33.76436169,33.76436169,33.76436169,8.574290475,0,21.55566323,98.32682693,98.32682693,98.32682693,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Vespula_pensylvanica,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,88.88866463,88.88866463,88.88866463,88.88866463,88.88866463,33.76436169,33.76436169,33.76436169,21.55566323,21.55566323,0,98.32682693,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Camponotus_floridanus,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,98.32682693,98.32682693,98.32682693,98.32682693,98.32682693,98.32682693,98.32682693,98.32682693,98.32682693,98.32682693,98.32682693,0,26.25432065,26.25432065,43.97953384,43.97953384,51.81614144,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Formica_exsecta,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682693,98.32682693,98.32682694,26.25432065,0,20.26566474,43.97953384,43.97953384,51.81614144,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Nylanderia_fulva,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682693,98.32682693,98.32682694,26.25432065,20.26566474,0,43.97953384,43.97953384,51.81614144,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Monomorium_pharaonis,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,43.97953384,43.97953384,43.97953384,0,33.26161171,51.81614144,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Pogonomyrmex_barbatus,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,43.97953384,43.97953384,43.97953384,33.26161171,0,51.81614144,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Ooceraea_biroi,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,135.2147973,135.2147973,135.2147973,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,98.32682694,51.81614144,51.81614144,51.81614144,51.81614144,51.81614144,0,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Athalia_rosae,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,0,70.89608178,70.89608178,70.89608178,70.89608178,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Diprion_similis,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,70.89608178,0,20.60563207,20.60563207,20.60563207,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Neodiprion_fabricii,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,70.89608178,20.60563207,0,2.864100982,3.345543362,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Neodiprion_virginiana,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,70.89608178,20.60563207,2.864100982,0,3.345543362,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Neodiprion_lecontei,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,142.9441034,70.89608178,20.60563207,3.345543362,3.345543362,0,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Blattella_germanica*,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,0,158.7973463,158.7973463,259.2140722,259.2140722,259.2140722,259.2140722,401,401,401
Cryptotermes_secundus,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,158.7973463,0,52.28305139,259.2140722,259.2140722,259.2140722,259.2140722,401,401,401
Zootermopsis_nevadensis,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,158.7973463,52.28305139,0,259.2140722,259.2140722,259.2140722,259.2140722,401,401,401
Schistocera_cancellata,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,259.2140722,259.2140722,259.2140722,0,18.36142774,23.27439982,23.27439982,401,401,401
Schistocera_gregaria,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,259.2140722,259.2140722,259.2140722,18.36142774,0,23.27439982,23.27439982,401,401,401
Schistocera_nitens,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,259.2140722,259.2140722,259.2140722,23.27439982,23.27439982,0,13.18176543,401,401,401
Schistocera_serialis,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,259.2140722,259.2140722,259.2140722,23.27439982,23.27439982,13.18176543,0,401,401,401
Ischnura_elegans,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,0,401,401
Pantala_flavescens*,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,0,223.626828
Tanypteryx_hageni*,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,223.626828,0
